Name,Music URL,Order
我要来大声赞美你,https://www.youtube.com/watch?v=bhXdXg8m2tE&list=PLhWMv0BKjIa5bu4Eb2KuDelwYOEFZ6QsO&index=4,1
小门徒,https://www.youtube.com/watch?v=TZO4fPE6TS8,2
我们是天父的孩子,https://www.youtube.com/watch?v=oJKkk5cIPxc,3
我们高举耶稣的名,https://www.youtube.com/watch?v=hI9c_0FqAHI,4
最美的礼物,https://www.youtube.com/watch?v=Ho_URGLqh9Y,5
High to the Sky,https://www.youtube.com/watch?v=ck9buD5Qh_w&list=PLEY_M7xVVeAsG3Ee9-HPCVfG6aWpa3Hcf&index=1,6
爱是,https://www.youtube.com/watch?v=ck9buD5Qh_w&list=PLEY_M7xVVeAsG3Ee9-HPCVfG6aWpa3Hcf&index=1,7
能不能,https://www.youtube.com/watch?v=Tkd3D7m8YCk,8
求助充满我,https://www.youtube.com/watch?v=YtkQSVvN1Pc&list=PLEY_M7xVVeAuwG-p87wvUVznWyAVFHcuS&index=4,9
你的慈爱,https://www.youtube.com/watch?v=UelRIB-uj3s&list=PLEY_M7xVVeAuwG-p87wvUVznWyAVFHcuS&index=7,10
你的同在,https://www.youtube.com/watch?v=jMYWTe2mUfI&list=PLEY_M7xVVeAuwG-p87wvUVznWyAVFHcuS&index=10,11